Engine,No. of Cylinders,Drive Type,Transmission,Fuel Type,Engine Type,Valves Per Cylinder,Power
1493 cc,4.0,FWD,Manual,Diesel,1.5 l diesel CRDi engine,4.0,113.98 bhp
1199 cc,3.0,,Manual,CNG,1.2L Revotron Engine,4.0,72.40 bhp
2184 cc,4.0,4WD,Automatic,Diesel,2.2L mHawk,4.0,172 bhp
999 cc,3.0,FWD,Automatic,Petrol,TSI Petrol Engine,4.0,108.62 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series VVT Engine,4.0,83.14 bhp
2694 cc,4.0,2WD,Automatic,Petrol,2.7L Petrol Engine,4.0,163.60 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2L Revotron,4.0,86.79 bhp
1498 cc,4.0,FWD,Manual,Petrol,i-VTEC,4.0,119 bhp
1956 cc,4.0,FWD,Manual,Diesel,2.0L Turbocharged Diesel,4.0,167.67 bhp
1497 cc,4.0,,Automatic,Diesel,1.5l Turbocharged Revotorq Engine,4.0,108.49 bhp
1497 cc,4.0,FWD,Manual,Diesel,1.5L KRYOJET,4.0,116 bhp
2184 cc,4.0,4WD,Manual,Diesel,mHawk 130 CRDe,4.0,130.07 bhp
1498 cc,4.0,FWD,Automatic,Petrol,1.5 TSI Petrol Engine,4.0,147.51 bhp
2393 cc,4.0,RWD,Automatic,Diesel,2-GD FTV Engine,4.0,147.51 bhp
2776 cc,4.0,RWD,Automatic,Diesel,Duramax Engine,4.0,197.2 bhp
1968 cc,4.0,Four Whell Drive,Manual,Diesel,Turbocharged diesel engin,4.0,
2157 cc,4.0,RWD,Automatic,Diesel,D22DTR,4.0,178.49 bhp
1497 cc,4.0,FWD,Manual,Petrol,1.5L MPi,4.0,113.18 bhp
1997 cc,4.0,FWD,Automatic,Petrol,i-VTEC Petrol Engine,4.0,153.86 bhp
1996 cc,4.0,4WD,Automatic,Diesel,Diesel 2.0 Twin Turbo,4.0,215.01 bhp
1461 cc,4.0,FWD,Manual,Diesel,1.5 K9K Diesel,4.0,108 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDCi Diesel Engine,2.0,89.84 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2 l Revotron,4.0,87 bhp
1968 cc,4.0,AWD,Manual,Diesel,Diesel Engine,4.0,138.08 bhp
1497 cc,4.0,FWD,Automatic,Petrol,1.5L MPi Petrol,4.0,113.18 bhp
2179 cc,4.0,4WD,Automatic,Diesel,SD4 Diesel  Engine,4.0,187.7 bhp
1956 cc,4.0,FWD,Manual,Diesel,Kryotec 2.0LTurbocharged,4.0,138.1 bhp
4999 cc,8.0,4WD,Automatic,Petrol,V-Type Engine,4.0,567.25 bhp
1598 cc,4.0,Two Wheel Drive,Manual,Petrol,In Line Petrol Engine,4.0,
1197 cc,4.0,,Manual,Petrol,VTVT Engine,4.0,81.80 bhp
1197 cc,4.0,FWD,Manual,CNG,Kappa VTVT Petrol Engine,4.0,65.39 bhp
1498 cc,4.0,FWD,Manual,Diesel,i-DTEC Engine,4.0,98.6 bhp
1197 cc,4.0,FWD,Manual,Petrol,K Series VVT Engine,4.0,83.11 bhp
1150 cc,4.0,FWD,Manual,Petrol,In-Line Engine,2.0,74.9 bhp
1798 cc,4.0,Front Wheel Drive,Manual,Petrol,Turbo Charged Petrol Engi,4.0,
1498 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,108.6 bhp
1199 cc,4.0,FWD,Manual,Petrol,Smartech Engine,4.0,79.4 bhp
2993 cc,6.0,4WD,Automatic,Diesel,xDrive30d Diesel Engine,4.0,258 bhp
1364 cc,4.0,FWD,Manual,Diesel,D-4D Diesel Engine,4.0,87.2 bhp
1197 cc,4.0,,Manual,CNG,VVT,4.0,
2982 cc,4.0,FWD,Automatic,Diesel,D-4D Diesel Engine,4.0,168.5 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2 L Revotron,4.0,84.88 bhp
796 cc,3.0,2WD,Manual,Petrol,In-Line Engine,4.0,46.3 bhp
1997 cc,4.0,RWD,Automatic,Petrol,mStallion 150 TGDi,4.0,150.19 bhp
1968 cc,4.0,FWD,Automatic,Diesel,TDI Diesel Engine,4.0,147.51 bhp
2982 cc,4.0,4WD,Manual,Diesel,4 Cylinders In-line,4.0,
1199 cc,3.0,FWD,Automatic,Petrol,1.2L Revotron,4.0,85 bhp
1499 cc,4.0,FWD,Manual,Petrol,Ti-VCT Petrol Engine,4.0,110.4 bhp
999 cc,3.0,FWD,Automatic,Petrol,HRA0 1.0 TURBO PETROL,4.0,98.63 bhp
1086 cc,4.0,FWD,Manual,Petrol,1.1 litre Petrol Engine,3.0,68 bhp
2231 cc,4.0,AWD,Automatic,Diesel,VCDi Diesel Engine,4.0,184 bhp
5000 cc,8.0,,Automatic,Petrol,5.0 Litre V8 Petrol AJ-V8,4.0,503 bhp
1968 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,141 bhp
1586 cc,4.0,,Manual,Petrol,In-Line Engine,4.0,
1462 cc,4.0,4WD,Manual,Petrol,K15B,4.0,103 bhp
1197 cc,4.0,FWD,Manual,Petrol,DOHC Engine,4.0,78.9 bhp
1582 cc,4.0,FWD,Manual,Diesel,Diesel Engine,4.0,126.32 bhp
796 cc,3.0,,Manual,Petrol,F8D Petrol Engine,4.0,47.33 bhp
1968 cc,4.0,4WD,Automatic,Diesel,2.0-litre TDI Diesel Engi,4.0,148 bhp
998 cc,3.0,,Automatic,Petrol,1.0 l Kappa turbo GDi petrol,4.0,118.41 bhp
998 cc,3.0,FWD,Manual,Petrol,Smartstream G1.0 TGDi,4.0,118 bhp
1196 cc,4.0,RWD,Manual,Petrol,In-Line Engine,4.0,73 bhp
1998 cc,4.0,,Automatic,Petrol,TwinPower Turbo 4-Cylinder engine,4.0,189.08 bhp
1998 cc,4.0,FWD,Automatic,Petrol,Petrol Engine,4.0,258 bhp
2925 cc,6.0,RWD,Automatic,Diesel,L6 Diesel Engine,4.0,281.61 bhp
2998 cc,6.0,RWD,Automatic,Petrol,TwinPower Turbo Inline 6,4.0,321.84 bhp
2494 cc,4.0,FWD,Automatic,Petrol,2AR-FXE Petrol Engine,4.0,157.7 bhp
1968 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,138.13 bhp
1998 cc,4.0,RWD,Automatic,Petrol,TwinPower Turbo Inline 4,4.0,252 bhp
2993 cc,6.0,FWD,Automatic,Diesel,Diesel Engine,4.0,261.4 bhp
1968 cc,4.0,AWD,Automatic,Diesel,Common Rail Direct Inject,4.0,141 bhp
1399 cc,4.0,FWD,Manual,Diesel,Duratorq Diesel Engine,2.0,68.05 bhp
1969 cc,4.0,AWD,Automatic,Petrol,Turbo Petrol Engine,4.0,250 bhp
2755 cc,4.0,4WD,Automatic,Diesel,2.8 L Diesel engine,4.0,201.15 bhp
1498 cc,4.0,FWD,Automatic,Diesel,i-DTEC Diesel Engine,4.0,78.9 bhp
1497 cc,4.0,,Automatic,Petrol,1.5 l MPi petrol,4.0,113.18 bhp
2987 cc,6.0,RWD,Automatic,Diesel,V6 Diesel Engine,4.0,254.8 bhp
1956 cc,4.0,4X2,Manual,Diesel,2.0-Litre 4-Cyl Multijet II Engine,4.0,170 bhp
999 cc,3.0,,Manual,Petrol,1.0L energy,4.0,71.01 bhp
998 cc,3.0,,Automatic,Petrol,1.0 l Turbo GDi petrol,4.0,118.41 bhp
2987 cc,6.0,AWD,Automatic,Diesel,V-Type Engine,4.0,
998 cc,3.0,,Automatic,Petrol,K10C,4.0,65.71 bhp
1197 cc,4.0,,Manual,Petrol,1.2 l Kappa petrol,4.0,81.86 bhp
998 cc,3.0,,Automatic,Petrol,1.0 Turbo GDI,4.0,118.41 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2-Litre VVT Petrol Engi,4.0,81.80 bhp
998 cc,3.0,,Manual,Petrol,1.0 Turbo GDi petrol,4.0,98.63 bhp
1197 cc,4.0,FWD,Manual,CNG,1.2 l Bi-Fuel,4.0,68 bhp
1197 cc,4.0,,Automatic,Petrol,VTVT Engine,4.0,81.80 bhp
1197 cc,4.0,FWD,Manual,Petrol,1.2L VVT Engine,4.0,81.80 bhp
1197 cc,4.0,FWD,Automatic,Petrol,DOHC Engine,4.0,78.9 bhp
1186 cc,4.0,,Automatic,Diesel,1.2 U2 CRDi diesel,4.0,73.97 bhp
1248 cc,4.0,FWD,Manual,Diesel,In-Line Engine,4.0,73.9 bhp
1197 cc,4.0,,Automatic,Petrol,In-Line Engine,4.0,
998 cc,3.0,FWD,Automatic,Petrol,K Series Petrol Engine,4.0,67.1 bhp
998 cc,3.0,FWD,Automatic,Petrol,K10B Petrol Engine,4.0,67.05 bhp
998 cc,3.0,FWD,Automatic,Petrol,K10C,4.0,65.71 bhp
799 cc,3.0,FWD,Manual,Petrol,Petrol Engine,4.0,53.26 bhp
1197 cc,4.0,,Manual,Petrol,1.2 L Petrol Engine,4.0,88.50 bhp
1198 cc,3.0,FWD,Manual,Petrol,In Line Petrol Engine,4.0,67.04 bhp
1086 cc,4.0,,Manual,Petrol,,4.0,
1086 cc,4.0,,Manual,Petrol,In-Line Engine,3.0,
1199 cc,3.0,FWD,Manual,Petrol,JTP 1.2L Turbo charged pe,4.0,112.44 bhp
999 cc,3.0,2WD,Manual,Petrol,1.0L Petrol Engine,4.0,67 bhp
1194 cc,3.0,FWD,Manual,Petrol,1.2 litre Petrol Engine,4.0,94.68 bhp
1199 cc,3.0,FWD,Manual,CNG,1.2 L Revotron,4.0,74.46 bhp
1497 cc,4.0,,Manual,Diesel,1.5 l Turbocharged Revotorq,4.0,88.77 bhp
1199 cc,3.0,,Automatic,Petrol,1.2 L Revotron,4.0,84.82 bhp
1199 cc,3.0,FWD,Automatic,Petrol,Revotron 1.2 l,4.0,84.48 bhp
1461 cc,4.0,Two Whhel Drive,Manual,Diesel,In-Line Diesel Engine,2.0,63.1 bhp
1462 cc,4.0,FWD,Manual,Petrol,K15 Smart Hybrid Petrol Engine,4.0,103.25 bhp
1199 cc,3.0,FWD,Manual,Diesel,In-Line Diesel Engine,4.0,73.9 bhp
1364 cc,4.0,,Manual,Diesel,,4.0,
993 cc,4.0,,Manual,Petrol,In-Line Engine,4.0,
1197 cc,4.0,,Automatic,Petrol,1.2 l Kappa dual petrol,4.0,81.86 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2 l Revotron Engine,4.0,86.63 bhp
1462 cc,4.0,FWD,Manual,Petrol,k15B VVT Engine,4.0,103.25 bhp
1497 cc,4.0,,Manual,Petrol,1.5 l MPi petrol,4.0,113.18 bhp
1248 cc,4.0,FWD,Manual,Diesel,DDiS Diesel Engine,4.0,74.02 bhp
999 cc,3.0,FWD,Automatic,Petrol,1.0L Turbo,4.0,98.63 bhp
1598 cc,4.0,FWD,Manual,Diesel,DDiS 320 Diesel Engine,4.0,118 bhp
936 cc,3.0,FWD,Manual,Diesel,Smartech Engine,4.0,57.6 bhp
1197 cc,4.0,,Automatic,Petrol,1.2 l Kappa petrol,4.0,86.80 bhp
1582 cc,4.0,FWD,Manual,Diesel,U2 CRDI VGT Engine,4.0,126.2 bhp
1462 cc,4.0,FWD,Automatic,Petrol,k15B VVT Engine,4.0,103.25 bhp
999 cc,3.0,,Automatic,Petrol,HRA0 1.0 TURBO PETROL,4.0,98.63 bhp
1186 cc,4.0,,Automatic,Diesel,1.2 l U2 CRDi diesel,4.0,73.97 bhp
1120 cc,3.0,FWD,Manual,Diesel,U2 CRDI Diesel Engine,4.0,71 bhp
936 cc,3.0,FWD,Manual,Diesel,XSDE Engine,4.0,56.3 bhp
1197 cc,3.0,FWD,Automatic,Petrol,Z12E,4.0,80 bhp
1461 cc,4.0,FWD,Manual,Diesel,dCi Diesel Engine,4.0,84.8 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,108.62 bhp
1198 cc,4.0,FWD,Automatic,Petrol,i-VTEC Petrol Engine,4.0,86.7 bhp
1596 cc,4.0,FWD,Manual,Petrol,In-Line Engine,4.0,99.6 bhp
1798 cc,4.0,FWD,Manual,Petrol,DOHC Dual VVT-i Petrol En,4.0,138.1 bhp
1582 cc,4.0,FWD,Automatic,Diesel,U2 CRDI VGT Engine,4.0,126.2 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15C,4.0,101.64 bhp
1498 cc,4.0,2wd,Manual,Diesel,1.5 L TDCi,2.0,
1396 cc,4.0,FWD,Manual,Diesel,In-Line Engine,2.0,
1199 cc,3.0,,Automatic,Petrol,1.2 l Revotron Engine,4.0,86.63 bhp
1197 cc,4.0,FWD,Automatic,Petrol,TSI Petrol Engine,2.0,103.5 bhp
1199 cc,3.0,FWD,Manual,Petrol,1.2 L Revotron,4.0,85 bhp
998 cc,3.0,FWD,Manual,Petrol,1.0 l Kappa Turbo,4.0,118 bhp
1984 cc,4.0,AWD,Automatic,Petrol,In-Line Engine,4.0,
1498 cc,4.0,FWD,Automatic,Petrol,HR15 Petrol Engine,4.0,99.61 bhp
1496 cc,4.0,,Manual,Petrol,,4.0,
1462 cc,4.0,2WD,Automatic,Petrol,K15C Smart Hybrid,4.0,101.65 bhp
1796 cc,4.0,RWD,Automatic,Petrol,In-Line Engine,0.0,
1598 cc,4.0,FWD,Automatic,Petrol,In-Line Petrol Engine,4.0,103.6 bhp
2143 cc,4.0,FWD,Automatic,Diesel,Blue Efficiency Petrol En,4.0,120.7 bhp
1497 cc,4.0,,Manual,Petrol,1.5 L MPi Petrol,4.0,113.18 bhp
1497 cc,4.0,FWD,Manual,Diesel,D15 1.5 Liter Diesel Engi,4.0,121 bhp
1197 cc,4.0,FWD,Manual,CNG,1.2 L K Series Engine,4.0,76.43 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2 l Kappa,4.0,81.8 bhp
1598 cc,4.0,FWD,Manual,Petrol,In-Line Petrol Engine,4.0,103.5 bhp
1497 cc,4.0,FWD,Automatic,Petrol,SOHC i-VTEC,4.0,116.3 bhp
1482 cc,4.0,FWD,Automatic,Petrol,1.5l Turbo GDi,4.0,158 bhp
1493 cc,3.0,RWD,Manual,Diesel,mCR100 Diesel Engine,4.0,100 bhp
1493 cc,4.0,,Manual,Diesel,1.5 U2 CRDi,4.0,113.45 bhp
,,,Automatic,Electric,,,127 bhp
1498 cc,4.0,FWD,Automatic,Diesel,TDI Diesel Engine,4.0,108.6 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L TSI,4.0,114 bhp
1595 cc,4.0,FWD,Automatic,Petrol,In-Line Petrol Engine,4.0,120.7 bhp
1498 cc,4.0,FWD,Manual,Diesel,TDI Diesel Engine,4.0,103.2 bhp
1482 cc,4.0,FWD,Manual,Petrol,1.5 l Turbo GDi Petrol,4.0,158 bhp
1493 cc,4.0,FWD,Automatic,Diesel,1.5L U2 CRDi,4.0,114 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15B ISG Petrol Engine,4.0,103.26 bhp
2494 cc,4.0,,Manual,Diesel,In-Line Engine,4.0,
2143 cc,4.0,RWD,Automatic,Diesel,In-Line Engine,0.0,
796 cc,3.0,FWD,Manual,Petrol,Hi-Tech Petrol Engine,2.0,37 bhp
2143 cc,4.0,RWD,Automatic,Diesel,CDI Blue Efficiency Engin,4.0,170 bhp
1198 cc,3.0,FWD,Manual,Petrol,1.2L PureTech 82,4.0,80.46 bhp
1197 cc,4.0,FWD,Manual,Petrol,Petrol Engine,4.0,81.80 bhp
1493 cc,4.0,FWD,Automatic,Diesel,1.5 l diesel CRDi engine,4.0,113.98 bhp
1395 cc,4.0,FWD,Automatic,Petrol,TFSI Petrol Engine,4.0,147.51 bhp
1991 cc,4.0,AWD,Automatic,Petrol,AMG 2.0-LITRE 4-CYLINDER ENGINE,4.0,301.73 bhp
1497 cc,4.0,FWD,Manual,Petrol,Smartstream,4.0,113.42 bhp
1969 cc,5.0,AWD,Automatic,Petrol,Turbo Petrol Engine,4.0,250 bhp
1497 cc,4.0,FWD,Automatic,Petrol,1.5L MPi,4.0,113.18 bhp
1997 cc,4.0,4X4,Automatic,Petrol,mStallion 150 TGDi Engine,4.0,150 bhp
1395 cc,4.0,FWD,Manual,Petrol,1.4TSI Petrol Engine,4.0,148 bhp
2993 cc,6.0,,Automatic,Diesel,,4.0,261.49 bhp
1493 cc,3.0,RWD,Manual,Diesel,mHAWK 75 BSVI,4.0,74.96 bhp
1969 cc,4.0,AWD,Automatic,Petrol,,4.0,295.89 bhp
1991 cc,4.0,AWD,Automatic,Petrol,Petrol Engine,4.0,183 bhp
1248 cc,4.0,FWD,Automatic,Diesel,Quadrajet Engine,4.0,88.7 bhp
1984 cc,4.0,FWD,Automatic,Petrol,2.0TSI Turbocharged Petro,4.0,227 bhp
1998 cc,4.0,FWD,Automatic,Petrol,2.0 L TFSI petrol engine,4.0,187.74 bhp
2494 cc,4.0,4WD,Automatic,Petrol,Gasoline Hybrid and E-FOUR,4.0,115.32 bhp
3604 cc,6.0,4WD,Automatic,Petrol,3.6-Litre V6 Petrol Engin,4.0,285.6 bhp
1493 cc,4.0,2WD,Manual,Diesel,1.5 T-CRDi VGT,4.0,114.41 bhp
1798 cc,4.0,FWD,Automatic,Petrol,TFSI Petrol Engine,4.0,167.62 bhp
2487 cc,4.0,FWD,Automatic,Petrol,2.5 Gasoline Hybrid Petrol Engine,4.0,214.5 bhp
2487 cc,4.0,FWD,Automatic,Petrol,2.5L Dynamic Force Engine,4.0,175.67 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5L CRDi VGT,4.0,114.41 bhp
1896 cc,4.0,FWD,Automatic,Diesel,In-Line Engine,4.0,
1493 cc,4.0,2WD,Automatic,Diesel,1.5 L CRDi WGT,4.0,114.41 bhp
1493 cc,4.0,FWD,Automatic,Diesel,CRDi VGT,4.0,114.41 bhp
1248 cc,4.0,,Manual,Diesel,Diesel Engine,4.0,
1987 cc,4.0,FWD,Automatic,Petrol,2.0 TNGA 5th Generation in-line VVTi,4.0,183.72 bhp
1799 cc,4.0,FWD,Automatic,Petrol,1.8-litre i-VTEC petrol e,4.0,139.46 bhp
1999 cc,4.0,4WD,Automatic,Diesel,TD4 Diesel Engine,4.0,147.5 bhp
1493 cc,4.0,2WD,Automatic,Diesel,1.5 L U2 CRDi Diesel,4.0,113.45 bhp
2998 cc,6.0,AWD,Automatic,Petrol,B58 turbo I6,4.0,375.48 bhp
2993 cc,6.0,RWD,Automatic,Diesel,Diesel Engine,4.0,258 bhp
2494 cc,4.0,RWD,Manual,Diesel,2KD-FTV Diesel Engine,4.0,100.6 bhp
1998 cc,4.0,FWD,Automatic,Petrol,Petrol Engine,4.0,254.7 bhp
1597 cc,4.0,FWD,Manual,Diesel,1.6-litre i-DTEC  diesel engine,4.0,118 bhp
1999 cc,4.0,FWD,Automatic,Diesel,Diesel Engine,4.0,177 bhp
1997 cc,4.0,,Automatic,Petrol,,4.0,
1395 cc,4.0,FWD,Automatic,Petrol,TFSI Petrol Engine,4.0,150 bhp
1950 cc,4.0,RWD,Automatic,Diesel,CDI In-line Engine,4.0,191.7 bhp
1999 cc,4.0,RWD,Automatic,Diesel,Diesel Engine,4.0,177 bhp
1995 cc,4.0,RWD,Automatic,Diesel,Diesel Engine,4.0,184 bhp
,,AWD,Automatic,Electric,,,237.99 bhp
,,AWD,Automatic,Electric,,,308.43 bhp
,,AWD,Automatic,Electric,,,321.84 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L B4D,4.0,71.01 bhp
2998 cc,6.0,4WD,Automatic,Petrol,3.0 L 6-cylinder,4.0,375.48 bhp
1496 cc,4.0,FWD,Automatic,Petrol,1.5 Dual VVT-i Engine,4.0,105.94 bhp
2694 cc,4.0,2WD,Manual,Petrol,2.7L Petrol Engine,4.0,163.60 bhp
2755 cc,4.0,4WD,Automatic,Diesel,1-GD FTV Engine,4.0,174.5 bhp
1995 cc,4.0,RWD,Automatic,Diesel,Diesel Engine,4.0,190 bhp
2184 cc,4.0,4X4,Manual,Diesel,mHawk 130 Engine,4.0,130 bhp
998 cc,3.0,FWD,Manual,CNG,K10B Engine,4.0,58.33 bhp
1984 cc,4.0,4WD,Automatic,Petrol,Turbocharged Petrol Engine,4.0,187.74 bhp
2198 cc,4.0,FWD,Manual,Diesel,mHAWK (CRDi),4.0,182.38 bhp
1996 cc,4.0,4x2,Automatic,Diesel,DIESEL 2.0L TURBO,4.0,158.79 bhp
1998 cc,4.0,,Automatic,Petrol,,4.0,248.08 bhp
1199 cc,3.0,FWD,Manual,CNG,1.2L iCNG,4.0,72.49 bhp
1984 cc,4.0,FWD,Automatic,Petrol,2.0 L TFSI petrol engine,4.0,207 bhp
,,AWD,Automatic,Electric,,,402.30 bhp
,,AWD,Automatic,Electric,,,402.3 bhp
2198 cc,4.0,AWD,Automatic,Diesel,2.2 L Turbo Diesel,4.0,182.38 bhp
,,AWD,Automatic,Electric,,,516.29 bhp
1995 cc,4.0,2WD,Automatic,Diesel,e- VGT R 2.0 Diesel,4.0,182.46 bhp
,,FWD,Automatic,Electric,,,181.03 bhp
2925 cc,6.0,AWD,Automatic,Diesel,OM 656 Engine,0.0,281.61 bhp
1998 cc,4.0,RWD,Automatic,Petrol,TwinPower Turbo inline 4-cylinder engine,4.0,254.79 bhp
1997 cc,4.0,AWD,Automatic,Petrol,petrol engine,4.0,246.74 bhp
1497 cc,4.0,FWD,Automatic,Diesel,1.5 Diesel Engine,4.0,115 bhp
1197 cc,4.0,FWD,Automatic,Petrol,1.2 l Kappa,4.0,82 bhp
1186 cc,4.0,,Manual,Diesel,1.2 l U2 CRDi diesel,4.0,73.97 bhp
1497 cc,4.0,FWD,Manual,Diesel,1.5L Revotorq Turbocharged,4.0,108.50 bhp
1999 cc,4.0,AWD,Automatic,Diesel,Turbocharged Diesel engine,4.0,245.4 bhp
1798 cc,4.0,FWD,Automatic,Petrol,2ZR-FE Petrol Engine,4.0,138.03 bhp
1956 cc,4.0,AWD,Automatic,Diesel,2.0 L Multijet Diesel,4.0,167.67 bhp
1997 cc,4.0,RWD,Automatic,Petrol,2.0l 4-cylinder Turbocharged Petro,4.0,246.74 bhp
1998 cc,4.0,,Automatic,Petrol,TwinPower Turbo inline 4-cylinder engine,4.0,254.79 bhp
999 cc,3.0,,Manual,Petrol,1.0L Turbo,4.0,98.63 bhp
2998 cc,6.0,4WD,Automatic,Petrol,B58 Turbocharged I6,4.0,368.78 bhp
1991 cc,4.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,183 bhp
1998 cc,5.0,AWD,Automatic,Petrol,Turbo Petrol Engine,4.0,246.74 bhp
1496 cc,4.0,FWD,Manual,Petrol,Petrol Engine,4.0,88.73 bhp
1798 cc,4.0,FWD,Manual,Petrol,In-Line Engine,4.0,138 bhp
1198 cc,3.0,FWD,Automatic,Petrol,In Line Petrol Engine,4.0,76 bhp
4951 cc,8.0,RWD,Automatic,Petrol,5.0L Ti-VCT V8,4.0,395 bhp
1493 cc,4.0,,Automatic,Diesel,1.5 l diesel CRDi engine,4.0,113.98 bhp
6750 cc,12.0,AWD,Automatic,Petrol,V12,4.0,563 bhp
1498 cc,4.0,,Manual,Petrol,H4K Petrol Engine,4.0,104.55 bhp
1998 cc,4.0,RWD,Automatic,Diesel,TwinPower Turbo,4.0,187.74 bhp
1198 cc,3.0,FWD,Manual,Petrol,In-Line Petrol Engine,4.0,75 bhp
2694 cc,4.0,RWD,Manual,Petrol,2-TR-FE Dual VVT-i Engine,4.0,163.7 bhp
1498 cc,4.0,,Manual,Petrol,1.5L TSI EVO with ACT,4.0,147.51 bhp
2198 cc,4.0,RWD,Manual,Diesel,Diesel Engine,4.0,157.7 bhp
2179 cc,4.0,,Manual,Diesel,mHawk Diesel Engine,4.0,136.78 bhp
1086 cc,4.0,FWD,Manual,Petrol,1.1 L Petrol,3.0,68.05 bhp
1995 cc,4.0,,Automatic,Diesel,TwinPower Turbo 4-Cylinder engine,4.0,187.74 bhp
1368 cc,4.0,4X2,Manual,Petrol,1.4-Litre 4-Cyl Multiair,4.0,160 bhp
1451 cc,4.0,FWD,Manual,Petrol,,4.0,141 bhp
1598 cc,4.0,FWD,Manual,Petrol,K4M Petrol Engine,4.0,102.53 bhp
1462 cc,4.0,FWD,Automatic,Petrol,K15 Smart Hybrid Petrol Engine,4.0,103.25 bhp
1353 cc,4.0,FWD,Automatic,Petrol,1.4L GDi Turbo Petrol,4.0,138.08 bhp
1199 cc,4.0,FWD,Automatic,Petrol,1.2L i-VTEC,4.0,89 bhp
1197 cc,4.0,,Manual,CNG,1.2 l Bi-fuel,4.0,68.05 bhp
1995 cc,4.0,,Automatic,Diesel,,4.0,187.74 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L HRAO,4.0,98.63 bhp
1497 cc,4.0,FWD,Manual,Petrol,1.5L MPi Petrol,4.0,113.18 bhp
999 cc,3.0,2WD,Manual,Petrol,HRA0 1.0 TURBO PETROL,4.0,98.63 bhp
3982 cc,8.0,,Automatic,Petrol,4.0-litre V8 Biturbo,4.0,469.35 bhp
1461 cc,4.0,2WD,Manual,Diesel,4 Cylinder 8 valve,2.0,64.1 bhp
1368 cc,4.0,4X2,Automatic,Petrol,1.4-Litre 4-Cyl Multiair Engine,4.0,160.77 bhp
1997 cc,4.0,4X4,Manual,Petrol,mStallion 150 TGDi Engine,4.0,150 bhp
998 cc,3.0,FWD,Manual,Petrol,Smartstream G1.0T-GDi,4.0,118 bhp
1987 cc,4.0,FWD,Automatic,Petrol,,4.0,150.19 bhp
2157 cc,4.0,,Automatic,Diesel,2.2L Diesel Engine,4.0,178.49 bhp
1995 cc,4.0,AWD,Automatic,Diesel,Diesel Engine,4.0,190 bhp
1991 cc,4.0,RWD,Automatic,Petrol,In-Line Petrol Engine,4.0,184 bhp
1497 cc,4.0,RWD,Manual,Diesel,D117 CRDe,4.0,116.93 bhp
998 cc,3.0,2WD,Automatic,Petrol,G1.0 T - GDi,4.0,118.35 bhp
1186 cc,4.0,,Manual,Diesel,1.2 U2 CRDi diesel,4.0,73.97 bhp
1998 cc,4.0,,Automatic,Petrol,TwinPower Turbo 4-Cylinder engine,4.0,257.47 bhp
1396 cc,4.0,FWD,Manual,Petrol,VTVT Petrol Engine,4.0,105.5 bhp
1998 cc,4.0,RWD,Automatic,Petrol,Petrol Engine,4.0,184 bhp
999 cc,3.0,FWD,Manual,Petrol,1.0L Turbo,4.0,98.63 bhp
1598 cc,4.0,FWD,Automatic,Petrol,Petrol Engine,4.0,103.52 bhp
1196 cc,4.0,RWD,Manual,CNG,In-Line Engine,4.0,63 bhp
1197 cc,4.0,FWD,Automatic,Petrol,K12M Petrol Engine,4.0,81.80 bhp
1968 cc,4.0,AWD,Automatic,Diesel,TDI Quattro Engine,4.0,188 bhp
1991 cc,4.0,,Automatic,Petrol,Petrol Engine,4.0,254.79 bhp
1199 cc,3.0,FWD,Manual,CNG,1.2L Revotron,4.0,72.41 bhp
2487 cc,4.0,FWD,Automatic,Petrol,2.5-liter L4 engine,4.0,214.56 bhp
3982 cc,8.0,AWD,Automatic,Petrol,4.0L V8 biturbo,0.0,469 bhp
1997 cc,4.0,RWD,Automatic,Petrol,Petrol Engine,4.0,197 bhp
1496 cc,4.0,FWD,Automatic,Petrol,1.5 Dual VVT-i Engine,4.0,105.5 bhp
1197 cc,4.0,,Manual,CNG,1.2 Kappa petrol,4.0,68.05 bhp
1462 cc,4.0,2WD,Manual,Petrol,K15 Smart Hybrid,4.0,103 bhp
1999 cc,4.0,AWD,Automatic,Petrol,,4.0,201 bhp
1996 cc,4.0,RWD,Automatic,Diesel,EcoBlue engine,4.0,167.62 bhp
1482 cc,4.0,FWD,Automatic,Petrol,1.5L Turbo GDi Petrol,4.0,157.57 bhp
